tf	score	n_a	n_b	n_shared	expected	replication_raw	replication
TP53BP1	500	10935	2305	1476	229.82743685602262	0.38766324772591343	0.6005151500538208
STAT5A	500	3198	4361	2913	127.16766663627246	0.7894239319776649	0.9071912859248109
TAL1	500	4413	2415	798	97.17693991064101	0.255632075192859	0.30236262299605393
TRIM28	500	622	7291	479	41.351344943922676	0.41789694910829145	0.7537237040767975
CREBBP	500	2876	1353	841	35.48124373119358	0.45700084908928496	0.6113907315824662
ELF3	500	1191	2203	901	23.924254581927602	0.582747440422628	0.7515156996976957
FOS	500	3382	3858	1895	118.97288228321328	0.5257532406338684	0.5442881881286702
TRIM24	500	1017	2568	743	23.81376857846266	0.5099551778641598	0.7241202190169042
HES2	500	44	30	24	0.012036108324974924	0.6727272727272727	0.799919727072045
ZBTB8A	500	1928	2136	1548	37.550907267256314	0.7638118327194741	0.7989895620777124
NANOG	500	3154	6731	2554	193.57685784626608	0.5946018982764327	0.7973262702022067
NFATC1	500	873	76	7	0.604978572079876	0.0500617953819256	0.08482020837455367
SIN3A	500	3366	6386	2726	195.99959879638917	0.6183673101010659	0.7981072810725829
NFIC	500	2407	0	0	0.0	0.0	0.0
ZNF366	500	821	1030	598	7.710677487006474	0.6544812743161903	0.7258048349744106
ZNF711	500	4469	602	476	24.53121181726999	0.4486045991247196	0.7818063892309804
TFE3	500	1157	3810	853	40.19485729917024	0.4805680134840535	0.7277949497395575
ZBTB11	500	2001	4033	1892	73.58469043494118	0.7073284582603319	0.9434475800523775
POU2F1	500	3361	2947	1263	90.31519102762834	0.40217622306286394	0.41050549409202014
KMT2D	500	2304	5325	1491	111.87015592231239	0.46356770833333333	0.6291278081923747
SOX6	500	128	1660	107	1.9374487097656605	0.4501976656626506	0.833416032080363
RELA	500	10019	11288	7610	1031.225239354427	0.7168620496322755	0.7319692511044896
THRA	500	621	91	84	0.5152822102671651	0.5291713117800074	0.9226388701762158
PAX5	500	5943	1272	1177	68.9294793471323	0.5616812946259909	0.9210353853999793
TFAP2C	500	4036	9029	3674	332.27905534786174	0.6586091496171185	0.9022604549830631
PATZ1	500	854	3154	726	24.560189659888756	0.5401504947436733	0.8456789770586082
ZNF687	500	10816	9416	7364	928.6355065195587	0.7314581311930342	0.7582288351612281
KLF11	500	4471	4591	3708	187.16477614662168	0.8185059202651653	0.8218885741096108
KDM6A	500	5409	3514	2321	173.31290234339383	0.5448002512307688	0.6428878356081734
TBX2	500	2133	129	107	2.508954135132671	0.4398107262399285	0.826074645445631
EZH2	500	2189	3528	737	70.4184553660983	0.2727918219213984	0.31463577426239187
PBX1	500	2686	3824	1993	93.65609555940549	0.631588770379186	0.7326743574365595
YY2	500	232	391	109	0.827135953314489	0.3742999823617603	0.4679306305814506
FOXK1	500	1687	1332	1279	20.489504878271177	0.8591803866700132	0.9595885811077092
FOSL2	500	1882	3195	1572	54.82802954317498	0.6636501973227962	0.830338903500969
LCOR	500	377	77	72	0.26469408224674024	0.5630231837128389	0.9348409452441733
HHEX	500	1387	749	608	9.472626971824564	0.625052581524224	0.8093376862811162
ATF4	500	2349	3374	1817	72.26703747606456	0.6560252909396802	0.766331840950624
OGT	500	3423	244	236	7.615683413877997	0.5180792421564824	0.9661568072047396
NR2F6	500	445	831	233	3.3718883924500775	0.4019902919184954	0.5199580949946582
MEF2B	500	1518	670	558	9.27382146439318	0.6002123768509233	0.8304895376656182
ONECUT2	500	1521	763	283	10.58195495577642	0.2784830632395911	0.36205676729644637
CHD8	500	2197	4321	1557	86.5618400656515	0.5345134646907056	0.6967454379142247
NR1H2	500	345	491	330	1.5445883103857025	0.8143097494022846	0.9563262086155284
RFX5	500	1045	813	635	7.7467402206619855	0.694356656485225	0.7789515312874647
PRKDC	500	437	409	386	1.6297346585210175	0.9135302378408017	0.9435403072909109
SP2	500	3672	8204	2902	274.6885018692441	0.5720174493764134	0.7733501916372214
ZNF10	500	121	88	70	0.09709127382146439	0.6869834710743801	0.7952286191567244
MTA1	500	543	1214	501	6.010777787909182	0.6676686357140906	0.9217861397162054
CEBPB	500	5931	5286	4129	285.8691164402298	0.7386462958146571	0.7686060571325903
ZNF24	500	327	368	272	1.0972554025713503	0.7854673580640872	0.8312379968817423
KLF1	500	3906	6302	1973	224.4516458466308	0.40909777095934075	0.4749491751699336
RELB	500	275	1770	195	4.438314944834503	0.40963020030816644	0.7043188137164041
CLOCK	500	282	578	102	1.486240539801222	0.2690863579474343	0.3583202465847682
ZNF777	500	1041	1219	836	11.570885383422997	0.7444410033578175	0.8008604991939103
NFIB	500	364	659	304	2.1872526670921855	0.6482349213760443	0.8341683634910924
PRDM15	500	572	5	4	0.026078234704112337	0.4034965034965035	0.7989514014922363
HNF1B	500	2734	182	91	4.537138688793654	0.26664228237015364	0.487216652951298
SREBF2	500	5567	1637	1449	83.09637093097474	0.5727197940477193	0.8790143761279233
FOXK2	500	1053	975	633	9.361493571623964	0.6251851851851853	0.6458301965763965
CHD2	500	4173	2826	2536	107.53075590407586	0.7525488645793426	0.8933223170981857
