tf	pick	reason	rep_at_pick	n_assign_at_pick	n_assign_strict
NFIB	500.0		0.8341683634910924	364.0	364.0
NFIC	500.0	peak below floor	0.0	2407.0	2407.0
NFKB1	500.0		0.9169652170588781	748.0	748.0
NFKB2	50.0		0.8002370497910064	18388.0	1873.0
NFKBIZ		too few assignments			
NFRKB	400.0		0.6989004018560148	277.0	158.0
NFXL1		too few assignments			
NFYA	400.0		0.9617475245936176	4928.0	4181.0
NFYB	500.0		0.9276080445659078	4356.0	4356.0
NKRF		too few assignments			
NKX2-1	150.0		0.9695451997789418	3609.0	337.0
NKX2-5	500.0		1.0	103.0	103.0
NKX3-1	400.0		0.7706116303964441	226.0	143.0
NONO	500.0		0.9166545240640643	7340.0	7340.0
NOTCH1	250.0		0.8904130058930706	2245.0	773.0
NPM1	250.0		0.6893786348203882	13185.0	9915.0
NR1D1	500.0		0.7248896247240618	44.0	44.0
NR1H2	500.0		0.9563262086155284	345.0	345.0
NR1H3	50.0		0.7661034647426022	8103.0	288.0
NR2C1	500.0		0.9301417104631285	1845.0	1845.0
NR2C2	500.0		0.9204818014167413	4580.0	4580.0
NR2F1	500.0		0.9263559054948912	2094.0	2094.0
NR2F2	100.0		0.7079414115024091	9885.0	657.0
NR2F6	50.0		0.6823913405954148	3552.0	445.0
NR3C1	100.0		0.7804935908306125	30434.0	5470.0
NR4A1	400.0		0.7751238962898936	360.0	215.0
NR4A2		too few assignments			
NR4A3		too few assignments			
NR5A1		too few assignments			
NR5A2	50.0	peak below floor	0.25223283246410433	3279.0	329.0
NRF1	500.0		0.8698508323262387	8374.0	8374.0
NSD2		too few assignments			
OGT	500.0		0.9661568072047396	3423.0	3423.0
OLIG2	150.0		0.7017521070408174	10777.0	2303.0
ONECUT1	500.0		0.8511829699937612	1275.0	1275.0
ONECUT2	250.0	peak below floor	0.43589024906624396	2749.0	1521.0
ORC1	100.0	peak below floor	0.3726029967689083	419.0	45.0
OTX2	100.0		0.7354623826391562	8072.0	773.0
OVOL2		too few assignments			
PARP1		too few assignments			
PATZ1	400.0		0.8588854796542637	1406.0	854.0
PAX5	150.0		0.9296250526998604	18137.0	5943.0
PAX6		too few assignments			
PAX8	50.0		0.7414656583980742	5930.0	140.0
PBRM1	500.0		0.9657231735107853	2579.0	2579.0
PBX1	500.0		0.7326743574365595	2686.0	2686.0
PBX2	400.0		0.9813151055075716	976.0	900.0
PBX3	500.0		0.9469516039394784	946.0	946.0
PCBP1	250.0		0.9647917374176959	1639.0	243.0
PCBP2		too few assignments			
PCGF2	500.0		0.7994367330516998	308.0	308.0
PDS5B	200.0		0.8172833133269696	675.0	69.0
PDX1	150.0		0.7061020857937268	1100.0	224.0
PGR	150.0		0.6505888139086332	18661.0	3412.0
PHC1	50.0		0.8651995994214412	282.0	23.0
PHF19		too few assignments			
PHF20	500.0		0.9162195346507749	2963.0	2963.0
PHF21A	200.0		0.8985886371559323	6676.0	780.0
PHF6	150.0		0.6704804579751776	4289.0	739.0
PHOX2B	300.0		0.6425528347122534	244.0	113.0
PIAS1	400.0		0.8624722679995444	653.0	376.0
PKNOX1	500.0		0.938731934850004	2736.0	2736.0
PML	50.0		0.7793912038407678	10844.0	872.0
POLR2C	500.0		0.9628604736728091	12471.0	12471.0
POLR3C	500.0		1.0	71.0	71.0
POU2AF1	400.0		0.9758842201699605	1919.0	1284.0
POU2AF2	100.0		0.8327995486624136	3964.0	704.0
POU2F1	50.0		0.5059819300361342	16116.0	3361.0
POU2F2	50.0		0.7281162642715723	16780.0	2680.0
POU2F3	50.0		0.788270180339663	9548.0	1623.0
POU3F2		too few assignments			
POU5F1	50.0		0.7652073562747079	10661.0	237.0
PPARA	50.0		0.8691766968545621	2884.0	199.0
PPARG	500.0		0.7100873599848869	1183.0	1183.0
PPP1R10	500.0		0.666420291574276	81.0	81.0
PRDM1	500.0		0.7741450782771835	405.0	405.0
PRDM10	500.0		0.9612028359039506	591.0	591.0
PRDM15	150.0		0.9635196502250625	2303.0	572.0
PRDM2		too few assignments			
PRDM4	500.0		0.5993094692229702	189.0	189.0
PRKDC	500.0		0.9435403072909109	437.0	437.0
PRMT1	100.0		0.7580890972360234	4681.0	21.0
PRMT5		too few assignments			
PROX1	50.0	peak below floor	0.3913535284206607	4365.0	34.0
PRRX1	50.0		0.6884174992022959	9966.0	206.0
PSIP1	300.0		1.0	185.0	20.0
PTBP1		too few assignments			
PTF1A	500.0		1.0	85.0	85.0
QKI		too few assignments			
RAD21	150.0		0.7573923593716553	35003.0	14215.0
